Austria,Italy,Portugal,Greece,Taiwan*,Indonesia,India,Mexico,Thailand,Iran
489,1963,769,1209,585,5353,132364,2894,3886,9657
305,2556,430,1106,472,6486,120529,2809,2631,9209
351,2434,573,932,510,6594,114460,2071,2817,6442
284,2275,612,579,342,5832,100636,1979,2671,5612
326,1270,388,798,193,6993,86498,881,2419,4907
311,1894,598,1368,203,6294,92596,3449,2662,8846
307,2198,890,886,274,7725,93463,3855,2680,10598
356,2078,910,750,254,8892,92291,3672,2310,12398
287,1892,519,784,278,8083,84332,3282,2290,9966
227,1722,789,682,246,7465,80834,3649,3277,7444
198,1390,707,297,175,9868,70421,1707,2804,8195
207,907,625,468,185,8189,60471,1175,3355,10715
103,1253,973,794,135,8161,62224,4250,3000,10216
147,1400,1350,546,168,9944,67208,3789,2331,10487
180,1323,1233,512,175,12624,62480,4253,3129,10291
171,1147,1298,453,187,12990,60753,4098,3058,10100
131,1193,1183,389,125,12906,58226,0,3667,6448
149,881,941,247,109,13737,53449,5542,3682,8161
108,484,756,206,75,14536,42640,1268,3175,10485
115,834,1020,395,77,13668,50848,4233,4059,11716
102,1140,1497,512,103,15308,54069,4963,3174,11059
116,266,1556,454,129,20574,51667,5340,4108,11734
99,751,1604,386,76,18872,48698,5270,3644,10820
108,838,1568,375,80,21095,50040,5051,4160,7034
117,780,1496,235,89,21342,46148,2384,3996,9758
66,387,902,361,60,20694,37566,1661,5406,12351
73,677,1746,563,54,20467,45951,5711,4662,12717
93,776,2362,627,56,21807,48786,6105,4786,11748
106,879,2449,729,49,24836,46617,6081,5533,14303
80,794,2436,980,58,25830,44111,5842,6087,13836
108,929,2605,1182,80,27913,43071,6265,6230,8341
104,806,2041,617,39,27233,39796,2611,5916,13781
68,480,1483,999,31,29745,34703,1805,6166,16025
73,907,2170,2181,27,31189,43733,7989,5420,16080
103,1010,3285,1816,40,34379,45892,8507,6519,17212
127,1391,3269,2061,21,38391,43393,9452,7058,23391
148,1386,3194,1997,36,38124,42766,9319,9276,16596
199,1394,3162,2327,33,35094,41506,9581,9326,11664
178,1391,2323,1464,31,36197,37154,3779,9539,17664
154,887,1782,2063,24,40427,32906,3074,8656,20829
184,1530,2650,3911,29,47899,38865,11137,8685,22750
245,2153,4153,2935,26,54517,41733,12116,9317,23371
273,2473,3641,2794,18,56757,38949,12821,9186,23655
302,2895,3547,2688,32,54000,38079,12420,9692,21885
352,3118,3677,2554,12,51952,41157,12631,10082,15139
