Date,Country,infections,Month,Year
8/31/2021,Austria,3,8,2021
9/1/2021,Austria,3,9,2021
9/2/2021,Austria,4,9,2021
9/3/2021,Austria,4,9,2021
9/4/2021,Austria,8,9,2021
9/5/2021,Austria,6,9,2021
9/6/2021,Austria,9,9,2021
9/7/2021,Austria,9,9,2021
9/8/2021,Austria,4,9,2021
9/9/2021,Austria,8,9,2021
9/10/2021,Austria,8,9,2021
9/11/2021,Austria,10,9,2021
9/12/2021,Austria,11,9,2021
9/13/2021,Austria,7,9,2021
9/14/2021,Austria,3,9,2021
9/15/2021,Austria,9,9,2021
9/16/2021,Austria,15,9,2021
9/17/2021,Austria,12,9,2021
9/18/2021,Austria,11,9,2021
9/19/2021,Austria,11,9,2021
9/20/2021,Austria,7,9,2021
9/21/2021,Austria,19,9,2021
9/22/2021,Austria,12,9,2021
9/23/2021,Austria,9,9,2021
9/24/2021,Austria,11,9,2021
9/25/2021,Austria,10,9,2021
9/26/2021,Austria,9,9,2021
9/27/2021,Austria,14,9,2021
9/28/2021,Austria,11,9,2021
9/29/2021,Austria,8,9,2021
9/30/2021,Austria,17,9,2021
10/1/2021,Austria,8,10,2021
10/2/2021,Austria,9,10,2021
10/3/2021,Austria,9,10,2021
10/4/2021,Austria,15,10,2021
10/5/2021,Austria,11,10,2021
10/6/2021,Austria,8,10,2021
10/7/2021,Austria,16,10,2021
10/8/2021,Austria,8,10,2021
10/9/2021,Austria,11,10,2021
10/10/2021,Austria,8,10,2021
10/11/2021,Austria,12,10,2021
10/12/2021,Austria,10,10,2021
10/13/2021,Austria,12,10,2021
10/14/2021,Austria,19,10,2021
10/15/2021,Austria,11,10,2021
10/16/2021,Austria,11,10,2021
10/17/2021,Austria,12,10,2021
10/18/2021,Austria,21,10,2021
10/19/2021,Austria,20,10,2021
10/20/2021,Austria,11,10,2021
10/21/2021,Austria,13,10,2021
10/22/2021,Austria,14,10,2021
10/23/2021,Austria,16,10,2021
10/24/2021,Austria,18,10,2021
10/25/2021,Austria,17,10,2021
10/26/2021,Austria,23,10,2021
10/27/2021,Austria,12,10,2021
10/28/2021,Austria,25,10,2021
10/29/2021,Austria,29,10,2021
10/30/2021,Austria,17,10,2021
10/31/2021,Austria,14,10,2021
11/1/2021,Austria,27,11,2021
11/2/2021,Austria,18,11,2021
11/3/2021,Austria,23,11,2021
11/4/2021,Austria,24,11,2021
11/5/2021,Austria,36,11,2021
11/6/2021,Austria,29,11,2021
11/7/2021,Austria,35,11,2021
11/8/2021,Austria,32,11,2021
11/9/2021,Austria,29,11,2021
11/10/2021,Austria,35,11,2021
11/11/2021,Austria,39,11,2021
11/12/2021,Austria,31,11,2021
11/13/2021,Austria,63,11,2021
11/14/2021,Austria,59,11,2021
11/15/2021,Austria,60,11,2021
11/16/2021,Austria,48,11,2021
11/17/2021,Austria,47,11,2021
11/18/2021,Austria,52,11,2021
11/19/2021,Austria,59,11,2021
11/20/2021,Austria,54,11,2021
11/21/2021,Austria,66,11,2021
11/22/2021,Austria,48,11,2021
11/23/2021,Austria,69,11,2021
11/24/2021,Austria,66,11,2021
11/25/2021,Austria,65,11,2021
11/26/2021,Austria,61,11,2021
11/27/2021,Austria,74,11,2021
11/28/2021,Austria,80,11,2021
11/29/2021,Austria,59,11,2021
11/30/2021,Austria,71,11,2021
12/1/2021,Austria,80,12,2021
12/2/2021,Austria,51,12,2021
12/3/2021,Austria,75,12,2021
12/4/2021,Austria,77,12,2021
12/5/2021,Austria,70,12,2021
12/6/2021,Austria,70,12,2021
12/7/2021,Austria,59,12,2021
12/8/2021,Austria,65,12,2021
12/9/2021,Austria,70,12,2021
12/10/2021,Austria,63,12,2021
12/11/2021,Austria,59,12,2021
12/12/2021,Austria,57,12,2021
12/13/2021,Austria,51,12,2021
12/14/2021,Austria,41,12,2021
12/15/2021,Austria,49,12,2021
12/16/2021,Austria,52,12,2021
12/17/2021,Austria,36,12,2021
12/18/2021,Austria,41,12,2021
12/19/2021,Austria,35,12,2021
12/20/2021,Austria,30,12,2021
12/21/2021,Austria,37,12,2021
12/22/2021,Austria,33,12,2021
12/23/2021,Austria,31,12,2021
12/24/2021,Austria,23,12,2021
12/25/2021,Austria,24,12,2021
12/26/2021,Austria,19,12,2021
12/27/2021,Austria,21,12,2021
12/28/2021,Austria,24,12,2021
12/29/2021,Austria,26,12,2021
12/30/2021,Austria,25,12,2021
12/31/2021,Austria,16,12,2021
1/1/2022,Austria,30,1,2022
1/2/2022,Austria,14,1,2022
1/3/2022,Austria,8,1,2022
1/4/2022,Austria,12,1,2022
1/5/2022,Austria,21,1,2022
1/6/2022,Austria,12,1,2022
1/7/2022,Austria,10,1,2022
1/8/2022,Austria,9,1,2022
1/9/2022,Austria,14,1,2022
1/10/2022,Austria,8,1,2022
1/11/2022,Austria,13,1,2022
1/12/2022,Austria,12,1,2022
1/13/2022,Austria,10,1,2022
1/14/2022,Austria,9,1,2022
1/15/2022,Austria,9,1,2022
1/16/2022,Austria,12,1,2022
1/17/2022,Austria,8,1,2022
1/18/2022,Austria,11,1,2022
1/19/2022,Austria,8,1,2022
1/20/2022,Austria,8,1,2022
1/21/2022,Austria,12,1,2022
1/22/2022,Austria,8,1,2022
1/23/2022,Austria,16,1,2022
1/24/2022,Austria,11,1,2022
1/25/2022,Austria,16,1,2022
1/26/2022,Austria,13,1,2022
1/27/2022,Austria,15,1,2022
1/28/2022,Austria,10,1,2022
1/29/2022,Austria,18,1,2022
1/30/2022,Austria,20,1,2022
1/31/2022,Austria,15,1,2022
2/1/2022,Austria,16,2,2022
2/2/2022,Austria,13,2,2022
2/3/2022,Austria,16,2,2022
2/4/2022,Austria,21,2,2022
2/5/2022,Austria,24,2,2022
2/6/2022,Austria,17,2,2022
2/7/2022,Austria,25,2,2022
2/8/2022,Austria,19,2,2022
2/9/2022,Austria,26,2,2022
2/10/2022,Austria,16,2,2022
2/11/2022,Austria,19,2,2022
2/12/2022,Austria,28,2,2022
2/13/2022,Austria,32,2,2022
2/14/2022,Austria,32,2,2022
2/15/2022,Austria,23,2,2022
2/16/2022,Austria,36,2,2022
2/17/2022,Austria,31,2,2022
2/18/2022,Austria,25,2,2022
2/19/2022,Austria,30,2,2022
2/20/2022,Austria,20,2,2022
2/21/2022,Austria,28,2,2022
2/22/2022,Austria,23,2,2022
2/23/2022,Austria,29,2,2022
2/24/2022,Austria,30,2,2022
2/25/2022,Austria,25,2,2022
2/26/2022,Austria,33,2,2022
2/27/2022,Austria,37,2,2022
2/28/2022,Austria,30,2,2022
3/1/2022,Austria,29,3,2022
3/2/2022,Austria,31,3,2022
3/3/2022,Austria,39,3,2022
3/4/2022,Austria,31,3,2022
3/5/2022,Austria,33,3,2022
3/6/2022,Austria,33,3,2022
